phenotype,phecode,category,node_name,node_id,score
Malignant neoplasm of testis,187.2,neoplasms,Endometriosis,129103003,1
Malignant neoplasm of testis,187.2,neoplasms,Keratitis,5888003,1
"Malignant neoplasm of kidney, except pelvis",189.11,neoplasms,Pericarditis,3238004,1
"Malignant neoplasm of kidney, except pelvis",189.11,neoplasms,Dissecting aneurysm of aorta,308546005,1
"Malignant neoplasm of kidney, except pelvis",189.11,neoplasms,Adenoma of pituitary,254956000,3
"Malignant neoplasm of kidney, except pelvis",189.11,neoplasms,CA - Cancer of uterus,371973000,3
"Malignant neoplasm of kidney, except pelvis",189.11,neoplasms,Vestibular disorder,20425006,1
"Malignant neoplasm of kidney, except pelvis",189.11,neoplasms,Brady-tachy syndrome,74615001,3
"Malignant neoplasm of kidney, except pelvis",189.11,neoplasms,Bladder spasm,249297006,4
"Malignant neoplasm of kidney, except pelvis",189.11,neoplasms,Tuberculosis of lymph node,10893003,1
"Malignant neoplasm of kidney, except pelvis",189.11,neoplasms,Congestive rheumatic heart failure,82523003,1
"Malignant neoplasm of kidney, except pelvis",189.11,neoplasms,Pinguecula,87614000,1
"Malignant neoplasm of kidney, except pelvis",189.11,neoplasms,Patellar tendonitis,37785001,1
"Malignant neoplasm of kidney, except pelvis",189.11,neoplasms,COR - Chronic cor pulmonale,79955004,1
"Malignant neoplasm of kidney, except pelvis",189.11,neoplasms,Focal epilepsy,29753000,3
"Malignant neoplasm of kidney, except pelvis",189.11,neoplasms,Disease of pericardium,55855009,1
"Malignant neoplasm of kidney, except pelvis",189.11,neoplasms,AI - Aortic incompetence,60234000,2
"Malignant neoplasm of kidney, except pelvis",189.11,neoplasms,Cardiac US scan,40701008,1
"Malignant neoplasm of kidney, except pelvis",189.11,neoplasms,LD - Lattice degeneration,3577000,3
"Malignant neoplasm of kidney, except pelvis",189.11,neoplasms,Chest discomfort,279084009,1
"Malignant neoplasm of kidney, except pelvis",189.11,neoplasms,GSW (Gun shot wound),283545005,1
"Malignant neoplasm of kidney, except pelvis",189.11,neoplasms,OA - Optic atrophy,76976005,1
"Malignant neoplasm of kidney, except pelvis",189.11,neoplasms,Thrombocytopenia,302215000,1
"Malignant neoplasm of kidney, except pelvis",189.11,neoplasms,PTB - Pulmonary tuberculosis,154283005,1
"Malignant neoplasm of kidney, except pelvis",189.11,neoplasms,Chest cold,50417007,1
"Malignant neoplasm of kidney, except pelvis",189.11,neoplasms,Solitary nodule of lung,427359005,3
"Malignant neoplasm of kidney, except pelvis",189.11,neoplasms,Centesis,86088003,2
"Malignant neoplasm of kidney, except pelvis",189.11,neoplasms,Gastric catarrh,4556007,3
"Malignant neoplasm of kidney, except pelvis",189.11,neoplasms,Hospice care,385763009,4
"Malignant neoplasm of kidney, except pelvis",189.11,neoplasms,Cardiac murmur,88610006,1
"Malignant neoplasm of kidney, except pelvis",189.11,neoplasms,Infection due to Mycobacterium tuberculosis,56717001,1
"Malignant neoplasm of kidney, except pelvis",189.11,neoplasms,BE - Bacterial endocarditis,301183007,1
"Malignant neoplasm of kidney, except pelvis",189.11,neoplasms,TI - Tricuspid incompetence,111287006,1
"Malignant neoplasm of kidney, except pelvis",189.11,neoplasms,Arterial hypoxaemia,389087006,1
Malignant neoplasm of bladder,189.21,neoplasms,Palliative care,103735009,3
Malignant neoplasm of bladder,189.21,neoplasms,Clinical von Reclinghausen's disease,92824003,1
Malignant neoplasm of bladder,189.21,neoplasms,Abdominal lump,271860004,4
Malignant neoplasm of bladder,189.21,neoplasms,Paraganglioma,302833002,1
Malignant neoplasm of bladder,189.21,neoplasms,Hepatic tumor,126851005,3
Malignant neoplasm of bladder,189.21,neoplasms,Flushing,238810007,3
Malignant neoplasm of bladder,189.21,neoplasms,Excision small intestine,107938000,3
Malignant neoplasm of bladder,189.21,neoplasms,"Caught, crushed, jammed or pinched in or between objects",35468003,1
Malignant neoplasm of bladder,189.21,neoplasms,MD - Muscular dystrophy,73297009,1
Malignant neoplasm of bladder,189.21,neoplasms,Adrenal tumor,127021009,3
Malignant neoplasm of bladder,189.21,neoplasms,Dizziness - light-headed,386705008,1
Malignant neoplasm of bladder,189.21,neoplasms,Fracture of skull,71642004,1
Malignant neoplasm of bladder,189.21,neoplasms,Dissociative identity disorder,31611000,1
Malignant neoplasm of bladder,189.21,neoplasms,CLBP - Chronic low back pain,278860009,4
Malignant neoplasm of bladder,189.21,neoplasms,SA - Sexual abuse,213017001,1
Malignant neoplasm of bladder,189.21,neoplasms,Jaw pain,274667000,1
Malignant neoplasm of bladder,189.21,neoplasms,Bulge,65124004,1
Malignant neoplasm of bladder,189.21,neoplasms,Moschcowitz syndrome,78129009,1
Malignant neoplasm of bladder,189.21,neoplasms,Biopsy,86273004,5
Malignant neoplasm of bladder,189.21,neoplasms,SCLC - Small cell lung cancer,254632001,4
Malignant neoplasm of bladder,189.21,neoplasms,Weight increased,262286000,1
Malignant neoplasm of bladder,189.21,neoplasms,Mobitz type 2 second degree atrioventricular block,28189009,1
Malignant neoplasm of bladder,189.21,neoplasms,Breast cancer,254837009,2
Malignant neoplasm of bladder,189.21,neoplasms,Enlarged prostate,249607009,3
Malignant neoplasm of bladder,189.21,neoplasms,Emesis,422400008,4
Malignant neoplasm of bladder,189.21,neoplasms,APC - Adenomatous polyposis coli,72900001,3
Malignant neoplasm of bladder,189.21,neoplasms,Hyperglycaemia,80394007,1
Malignant neoplasm of bladder,189.21,neoplasms,AHG deficiency disease,28293008,1
Malignant neoplasm of bladder,189.21,neoplasms,Sarcoma,424413001,4
Malignant neoplasm of bladder,189.21,neoplasms,MTC - Medullary thyroid carcinoma,255032005,4
Polycythemia vera,200.1,neoplasms,Waldenstrom's macroglobulinaemia,190818004,2
Polycythemia vera,200.1,neoplasms,Aplastic anaemia,306058006,2
Polycythemia vera,200.1,neoplasms,Hyperhidrosis,312230002,1
Polycythemia vera,200.1,neoplasms,PHN - Post-herpetic neuralgia,2177002,1
Polycythemia vera,200.1,neoplasms,Leucocytopenia,84828003,1
Polycythemia vera,200.1,neoplasms,Hepatitis,128241005,1
Polycythemia vera,200.1,neoplasms,Adenoid excision,119954001,1
Polycythemia vera,200.1,neoplasms,Keratitis,5888003,1
Polycythemia vera,200.1,neoplasms,AA - Alcohol abuse,15167005,1
Polycythemia vera,200.1,neoplasms,Endocarditis,56819008,1
Polycythemia vera,200.1,neoplasms,Brachial plexus injury,6836001,1
Polycythemia vera,200.1,neoplasms,Bone marrow failure,127034005,3
Polycythemia vera,200.1,neoplasms,PDA - Patent ductus arteriosus,83330001,1
Polycythemia vera,200.1,neoplasms,Lymphoproliferative disorder,277466009,5
Polycythemia vera,200.1,neoplasms,Haemopoietic stem cell transplant,234336002,4
Polycythemia vera,200.1,neoplasms,Lymphoma,118600007,1
Polycythemia vera,200.1,neoplasms,BMT - Bone marrow transplant,23719005,4
Polycythemia vera,200.1,neoplasms,Decreased vision,7973008,4
Polycythemia vera,200.1,neoplasms,Unexplained weight loss,422868009,1
Polycythemia vera,200.1,neoplasms,Excision of spleen tissue,234319005,1
Polycythemia vera,200.1,neoplasms,CGL - Chronic granulocytic leukaemia,92818009,1
Polycythemia vera,200.1,neoplasms,Night sweats,42984000,1
Polycythemia vera,200.1,neoplasms,Marchiafava-Micheli syndrome,1963002,1
Polycythemia vera,200.1,neoplasms,"Malignant lymphoma, non-Hodgkin's type",118601006,1
Polycythemia vera,200.1,neoplasms,AAMD - Age related macular degeneration,267718000,1
Polycythemia vera,200.1,neoplasms,Bergmann's syndrome,84089009,1
Polycythemia vera,200.1,neoplasms,HA - Hyperactivity,44548000,1
Polycythemia vera,200.1,neoplasms,Miscarriage,17369002,3
Polycythemia vera,200.1,neoplasms,Thrombocytopenia,302215000,4
Polycythemia vera,200.1,neoplasms,Cerebral aneurysm,128609009,1
Polycythemia vera,200.1,neoplasms,Thyroid nodule,237495005,1
Polycythemia vera,200.1,neoplasms,Flashes,56170001,1
Polycythemia vera,200.1,neoplasms,Easy bruising,424131007,3
Polycythemia vera,200.1,neoplasms,MDS - Myelodysplastic syndrome,109995007,5
Lymphosarcoma,202.23,neoplasms,Idiopathic hypereosinophilic syndrome,423294001,1
Lymphosarcoma,202.23,neoplasms,Haemopoietic stem cell transplant,234336002,4
Lymphosarcoma,202.23,neoplasms,Connective tissue disease,105969002,1
Lymphosarcoma,202.23,neoplasms,Bronchitis,32398004,1
Lymphosarcoma,202.23,neoplasms,Fracture of hip,5913000,2
Lymphosarcoma,202.23,neoplasms,Alcohol withdrawal syndrome,191480000,1
Lymphosarcoma,202.23,neoplasms,Abnormal cervical smear,309081009,1
Lymphosarcoma,202.23,neoplasms,Adamantiades-Behcet disease,310701003,1
Lymphosarcoma,202.23,neoplasms,MGUS - Monoclonal gammopathy of uncertain significance,277577000,2
Lymphosarcoma,202.23,neoplasms,Aplastic anaemia,306058006,3
Lymphosarcoma,202.23,neoplasms,Spasmodic torticollis,74333002,1
Lymphosarcoma,202.23,neoplasms,Increased platelets,6631009,3
Lymphosarcoma,202.23,neoplasms,Haematologic neoplasm,129154003,5
Lymphosarcoma,202.23,neoplasms,Tracheostomy,48387007,1
Lymphosarcoma,202.23,neoplasms,MF - Mycosis fungoides,118618005,1
Lymphosarcoma,202.23,neoplasms,Flat wart,240539000,1
Lymphosarcoma,202.23,neoplasms,Blood clotting disorder,64779008,2
Lymphosarcoma,202.23,neoplasms,Agnogenic myeloid metaplasia,52967002,2
Lymphosarcoma,202.23,neoplasms,MDS - Myelodysplastic syndrome,109995007,2
Lymphosarcoma,202.23,neoplasms,Lymphoproliferative disorder,277466009,5
Lymphosarcoma,202.23,neoplasms,REM sleep behavior disorder,415238003,1
Lymphosarcoma,202.23,neoplasms,SMCD - systemic mast cell disease,397016004,1
Lymphosarcoma,202.23,neoplasms,LP - Lichen planus,4776004,2
Lymphosarcoma,202.23,neoplasms,ASHD - Atherosclerotic heart disease,53741008,1
Lymphosarcoma,202.23,neoplasms,Hypoalbuminaemia,119247004,4
Lymphosarcoma,202.23,neoplasms,Drowsiness,271782001,4
Lymphosarcoma,202.23,neoplasms,Angiospasm,71772004,1
Lymphosarcoma,202.23,neoplasms,Drusen of optic disc,33629003,1
Lymphosarcoma,202.23,neoplasms,POF - Premature ovarian failure,237788002,3
Lymphosarcoma,202.23,neoplasms,BMT - Bone marrow transplant,23719005,5
Lymphosarcoma,202.23,neoplasms,CGL - Chronic granulocytic leukaemia,92818009,3
Lymphosarcoma,202.23,neoplasms,Bone marrow failure,127034005,5
Lymphosarcoma,202.23,neoplasms,Enlarged glands,30746006,5
Lymphosarcoma,202.23,neoplasms,Leucocytopenia,84828003,4
Lymphosarcoma,202.23,neoplasms,OM - Osteomyelitis,60168000,3
Large cell lymphoma,202.24,neoplasms,BMT - Bone marrow transplant,23719005,5
Large cell lymphoma,202.24,neoplasms,Unexplained weight loss,422868009,5
Large cell lymphoma,202.24,neoplasms,Rupture of ovarian cyst,95598005,1
Large cell lymphoma,202.24,neoplasms,Idiopathic hypereosinophilic syndrome,423294001,2
Large cell lymphoma,202.24,neoplasms,SMCD - systemic mast cell disease,397016004,4
Large cell lymphoma,202.24,neoplasms,Abdomen distended,60728008,3
Large cell lymphoma,202.24,neoplasms,PDA - Patent ductus arteriosus,83330001,1
Large cell lymphoma,202.24,neoplasms,Dystrophia unguium,87065009,2
Large cell lymphoma,202.24,neoplasms,Chewing tobacco user,81703003,3
Large cell lymphoma,202.24,neoplasms,Nonpsychotic post-traumatic brain syndrome,40425004,1
Large cell lymphoma,202.24,neoplasms,CGL - Chronic granulocytic leukaemia,92818009,3
Large cell lymphoma,202.24,neoplasms,MF - Mycosis fungoides,118618005,2
Large cell lymphoma,202.24,neoplasms,Aplastic anaemia,306058006,2
Large cell lymphoma,202.24,neoplasms,Lupus nephritis,68815009,3
Large cell lymphoma,202.24,neoplasms,Chronic lung disease,413839001,1
Large cell lymphoma,202.24,neoplasms,Waldenstrom's macroglobulinaemia,190818004,3
Large cell lymphoma,202.24,neoplasms,HCL - Hairy cell leukaemia,118613001,2
Large cell lymphoma,202.24,neoplasms,MDS - Myelodysplastic syndrome,109995007,3
Large cell lymphoma,202.24,neoplasms,Neoplasm of lung,126713003,2
Large cell lymphoma,202.24,neoplasms,Pressure in chest,23924001,4
Large cell lymphoma,202.24,neoplasms,FTT - Failure to thrive,54840006,2
Large cell lymphoma,202.24,neoplasms,"Malignant lymphoma, centrocytic [obs]",74654000,3
Large cell lymphoma,202.24,neoplasms,SAH - Subarachnoid haemorrhage,21454007,1
Large cell lymphoma,202.24,neoplasms,Croup,71186008,1
Large cell lymphoma,202.24,neoplasms,Stenosis of cervix,83536006,1
Large cell lymphoma,202.24,neoplasms,Clap,15628003,1
Large cell lymphoma,202.24,neoplasms,Injury of neck,90460009,1
Large cell lymphoma,202.24,neoplasms,Enlarged glands,30746006,5
Large cell lymphoma,202.24,neoplasms,Leucocytopenia,84828003,5
Large cell lymphoma,202.24,neoplasms,Antepartum care of mother,18114009,1
Large cell lymphoma,202.24,neoplasms,Night sweats,42984000,5
"Lymphoid leukemia, acute",204.11,neoplasms,Rotary vertigo,399153001,1
"Lymphoid leukemia, acute",204.11,neoplasms,CA - Cancer,363346000,5
"Lymphoid leukemia, acute",204.11,neoplasms,Dyssomnia,44186003,1
"Lymphoid leukemia, acute",204.11,neoplasms,Night sweats,42984000,5
"Lymphoid leukemia, acute",204.11,neoplasms,SMCD - systemic mast cell disease,397016004,1
"Lymphoid leukemia, acute",204.11,neoplasms,ABS - Acute brain syndrome,2776000,1
"Lymphoid leukemia, acute",204.11,neoplasms,SGS - Subglottic stenosis,22668006,1
"Lymphoid leukemia, acute",204.11,neoplasms,GAD - Generalised anxiety disorder,21897009,1
"Lymphoid leukemia, acute",204.11,neoplasms,MGUS - Monoclonal gammopathy of uncertain significance,277577000,2
"Lymphoid leukemia, acute",204.11,neoplasms,MDS - Myelodysplastic syndrome,109995007,3
"Lymphoid leukemia, acute",204.11,neoplasms,Bloody diarrhea,95545007,1
"Lymphoid leukemia, acute",204.11,neoplasms,Idiopathic hypereosinophilic syndrome,423294001,1
"Lymphoid leukemia, acute",204.11,neoplasms,Unexplained weight loss,422868009,5
"Lymphoid leukemia, acute",204.11,neoplasms,"Malignant lymphoma, centrocytic [obs]",74654000,4
"Lymphoid leukemia, acute",204.11,neoplasms,MF - Mycosis fungoides,118618005,4
"Lymphoid leukemia, acute",204.11,neoplasms,Chill,43724002,5
"Lymphoid leukemia, acute",204.11,neoplasms,Aplastic anaemia,306058006,4
"Lymphoid leukemia, acute",204.11,neoplasms,CGL - Chronic granulocytic leukaemia,92818009,4
"Lymphoid leukemia, acute",204.11,neoplasms,"Malignant lymphoma, non-Hodgkin's type",118601006,4
"Lymphoid leukemia, acute",204.11,neoplasms,Leucocytopenia,84828003,5
"Lymphoid leukemia, acute",204.11,neoplasms,IOL - Ins intraocular lens,69724002,1
"Lymphoid leukemia, acute",204.11,neoplasms,Dysfunction of eustachian tube,56713002,1
"Lymphoid leukemia, acute",204.11,neoplasms,HCL - Hairy cell leukaemia,118613001,5
"Lymphoid leukemia, acute",204.11,neoplasms,Waldenstrom's macroglobulinaemia,190818004,3
"Lymphoid leukemia, acute",204.11,neoplasms,HD - Hodgkin's disease,118599009,4
"Lymphoid leukemia, acute",204.11,neoplasms,Disorder of muscle,129565002,1
"Lymphoid leukemia, acute",204.11,neoplasms,EM - Erythema multiforme,36715001,4
"Lymphoid leukemia, chronic",204.12,neoplasms,KCS - Keratoconjunctivitis sicca,302896008,1
"Lymphoid leukemia, chronic",204.12,neoplasms,Sicca syndrome,83901003,1
"Lymphoid leukemia, chronic",204.12,neoplasms,CGL - Chronic granulocytic leukaemia,92818009,3
"Lymphoid leukemia, chronic",204.12,neoplasms,Scleroderma,89155008,3
"Lymphoid leukemia, chronic",204.12,neoplasms,Scleroderma,89155008,1
"Lymphoid leukemia, chronic",204.12,neoplasms,Erythrocytosis,127062003,3
"Lymphoid leukemia, chronic",204.12,neoplasms,Endogenous hypertriglyceridaemia,275598004,3
"Lymphoid leukemia, chronic",204.12,neoplasms,Waldenstrom's macroglobulinaemia,190818004,3
"Lymphoid leukemia, chronic",204.12,neoplasms,"Malignant lymphoma, non-Hodgkin's type",118601006,4
"Lymphoid leukemia, chronic",204.12,neoplasms,Perforated eardrum,60442001,1
"Lymphoid leukemia, chronic",204.12,neoplasms,Haemopoietic stem cell transplant,234336002,5
"Lymphoid leukemia, chronic",204.12,neoplasms,Atypical pneumonia,233606009,4
"Lymphoid leukemia, chronic",204.12,neoplasms,Pleurisy,196075003,4
"Lymphoid leukemia, chronic",204.12,neoplasms,Thrombophlebitis,64156001,3
"Lymphoid leukemia, chronic",204.12,neoplasms,Cholecystitis,76581006,3
"Lymphoid leukemia, chronic",204.12,neoplasms,Viral labyrinthitis,409711008,1
"Lymphoid leukemia, chronic",204.12,neoplasms,Vaginal discharge,271939006,1
"Lymphoid leukemia, chronic",204.12,neoplasms,SCLC - Small cell lung cancer,254632001,4
"Lymphoid leukemia, chronic",204.12,neoplasms,PHT - Pulmonary hypertension,70995007,3
"Lymphoid leukemia, chronic",204.12,neoplasms,Disseminated lupus erythematosus,55464009,3
"Lymphoid leukemia, chronic",204.12,neoplasms,:: Polyphagia,267023007,2
"Lymphoid leukemia, chronic",204.12,neoplasms,Cornea conical,65636009,1
"Lymphoid leukemia, chronic",204.12,neoplasms,Allergic asthma,389145006,1
"Lymphoid leukemia, chronic",204.12,neoplasms,Farsightedness,38101003,1
"Lymphoid leukemia, chronic",204.12,neoplasms,Tumor of mediastinum,94147001,4
"Lymphoid leukemia, chronic",204.12,neoplasms,Neoplasm of lung,126713003,2
"Lymphoid leukemia, chronic",204.12,neoplasms,Procidentia of rectum,57773001,1
"Lymphoid leukemia, chronic",204.12,neoplasms,Blood in urine,34436003,4
"Lymphoid leukemia, chronic",204.12,neoplasms,Unexplained weight loss,422868009,4
"Lymphoid leukemia, chronic",204.12,neoplasms,Bronchitis,32398004,4
"Lymphoid leukemia, chronic",204.12,neoplasms,Idiopathic pulmonary arterial hypertension,697898008,2
"Myeloid leukemia, acute",204.21,neoplasms,Bronchiectasis,12295008,1
"Myeloid leukemia, acute",204.21,neoplasms,Haematologic neoplasm,129154003,5
"Myeloid leukemia, acute",204.21,neoplasms,Leucocytopenia,84828003,3
"Myeloid leukemia, acute",204.21,neoplasms,Emotional stress,442347009,3
"Myeloid leukemia, acute",204.21,neoplasms,HCL - Hairy cell leukaemia,118613001,2
"Myeloid leukemia, acute",204.21,neoplasms,Waldenstrom's macroglobulinaemia,190818004,2
"Myeloid leukemia, acute",204.21,neoplasms,Corneal erosion,50792001,2
"Myeloid leukemia, acute",204.21,neoplasms,Lymphoma,118600007,2
"Myeloid leukemia, acute",204.21,neoplasms,Borderline personality disorder,20010003,2
"Myeloid leukemia, acute",204.21,neoplasms,Heart rate fast,3424008,1
"Myeloid leukemia, acute",204.21,neoplasms,Hyperphosphataemia,20165001,3
"Myeloid leukemia, acute",204.21,neoplasms,Cauda equina syndrome,192970008,2
"Myeloid leukemia, acute",204.21,neoplasms,"Malignant lymphoma, centrocytic [obs]",74654000,2
"Myeloid leukemia, acute",204.21,neoplasms,Unexplained weight loss,422868009,5
"Myeloid leukemia, acute",204.21,neoplasms,Iridocyclitis,77971008,2
"Myeloid leukemia, acute",204.21,neoplasms,Night sweats,42984000,5
"Myeloid leukemia, acute",204.21,neoplasms,Cardiac syndrome X,233845001,1
"Myeloid leukemia, acute",204.21,neoplasms,CA - Cancer,363346000,5
"Myeloid leukemia, acute",204.21,neoplasms,Bell palsy,193093009,2
"Myeloid leukemia, acute",204.21,neoplasms,Lymphoproliferative disorder,277466009,2
"Myeloid leukemia, acute",204.21,neoplasms,MGUS - Monoclonal gammopathy of uncertain significance,277577000,2
"Myeloid leukemia, acute",204.21,neoplasms,Idiopathic hypereosinophilic syndrome,423294001,2
"Myeloid leukemia, acute",204.21,neoplasms,Agnogenic myeloid metaplasia,52967002,2
"Myeloid leukemia, acute",204.21,neoplasms,Increased platelets,6631009,4
"Myeloid leukemia, acute",204.21,neoplasms,"Malignant lymphoma, non-Hodgkin's type",118601006,2
"Myeloid leukemia, acute",204.21,neoplasms,Bone marrow failure,127034005,5
"Myeloid leukemia, acute",204.21,neoplasms,CA - Cancer of uterus,371973000,1
"Myeloid leukemia, acute",204.21,neoplasms,Decreased muscle strength,26544005,1
"Myeloid leukemia, acute",204.21,neoplasms,Malignant neoplasm of lung,93880001,1
"Myeloid leukemia, chronic",204.22,neoplasms,Spasmodic torticollis,74333002,1
"Myeloid leukemia, chronic",204.22,neoplasms,Anti-nuclear antibody positive,165850001,3
"Myeloid leukemia, chronic",204.22,neoplasms,Bile stasis,33688009,2
"Myeloid leukemia, chronic",204.22,neoplasms,CTx - Cardiac transplant,32413006,2
"Myeloid leukemia, chronic",204.22,neoplasms,HCL - Hairy cell leukaemia,118613001,4
"Myeloid leukemia, chronic",204.22,neoplasms,Nocturia,139394000,1
"Myeloid leukemia, chronic",204.22,neoplasms,Lymphoproliferative disorder,277466009,5
"Myeloid leukemia, chronic",204.22,neoplasms,Waldenstrom's macroglobulinaemia,190818004,4
"Myeloid leukemia, chronic",204.22,neoplasms,Haematologic neoplasm,129154003,5
"Myeloid leukemia, chronic",204.22,neoplasms,Unexplained weight loss,422868009,5
"Myeloid leukemia, chronic",204.22,neoplasms,CP - Cleft palate,87979003,1
"Myeloid leukemia, chronic",204.22,neoplasms,Aching muscles,68962001,4
"Myeloid leukemia, chronic",204.22,neoplasms,CM - Congenital malformation,276654001,1
"Myeloid leukemia, chronic",204.22,neoplasms,Allergy to drug,416098002,2
"Myeloid leukemia, chronic",204.22,neoplasms,Hypertriglyceridaemia,302870006,1
"Myeloid leukemia, chronic",204.22,neoplasms,Hepatic transplantation,18027006,3
"Myeloid leukemia, chronic",204.22,neoplasms,Aplastic anaemia,306058006,5
"Myeloid leukemia, chronic",204.22,neoplasms,CKD stage 5,433146000,1
"Myeloid leukemia, chronic",204.22,neoplasms,MDS - Myelodysplastic syndrome,109995007,5
"Myeloid leukemia, chronic",204.22,neoplasms,Bone marrow failure,127034005,5
"Myeloid leukemia, chronic",204.22,neoplasms,Lymphoma,118600007,4
"Myeloid leukemia, chronic",204.22,neoplasms,Agnogenic myeloid metaplasia,52967002,4
"Myeloid leukemia, chronic",204.22,neoplasms,MGUS - Monoclonal gammopathy of uncertain significance,277577000,4
"Myeloid leukemia, chronic",204.22,neoplasms,Leucocytopenia,84828003,5
"Myeloid leukemia, chronic",204.22,neoplasms,Celioscopy,73632009,1
"Myeloid leukemia, chronic",204.22,neoplasms,Buttock pain,279043006,4
"Myeloid leukemia, chronic",204.22,neoplasms,"Malignant lymphoma, centrocytic [obs]",74654000,4
"Myeloid leukemia, chronic",204.22,neoplasms,Transplant rejection,213148006,3
"Myeloid leukemia, chronic",204.22,neoplasms,"Malignant lymphoma, non-Hodgkin's type",118601006,4
Multiple myeloma,204.4,neoplasms,Aplastic anaemia,306058006,5
Multiple myeloma,204.4,neoplasms,Unexplained weight loss,422868009,5
Multiple myeloma,204.4,neoplasms,Chronic otitis externa,53295002,3
Multiple myeloma,204.4,neoplasms,Bruise,125667009,5
Multiple myeloma,204.4,neoplasms,Atheromatosis,38716007,3
Multiple myeloma,204.4,neoplasms,Nystagmus,563001,3
Multiple myeloma,204.4,neoplasms,AVR - Aortic valve replacement,26212005,2
Multiple myeloma,204.4,neoplasms,Increased platelets,6631009,4
Multiple myeloma,204.4,neoplasms,Brain concussion,110030002,2
Multiple myeloma,204.4,neoplasms,MDS - Myelodysplastic syndrome,109995007,5
Multiple myeloma,204.4,neoplasms,Night sweats,42984000,5
Multiple myeloma,204.4,neoplasms,Primary bacterial peritonitis,11836002,2
Multiple myeloma,204.4,neoplasms,MF - Mycosis fungoides,118618005,3
Multiple myeloma,204.4,neoplasms,CGL - Chronic granulocytic leukaemia,92818009,4
Multiple myeloma,204.4,neoplasms,"Malignant lymphoma, non-Hodgkin's type",118601006,4
Multiple myeloma,204.4,neoplasms,Cornea conical,65636009,1
Multiple myeloma,204.4,neoplasms,SMCD - systemic mast cell disease,397016004,3
Multiple myeloma,204.4,neoplasms,Ataxia,20262006,3
Multiple myeloma,204.4,neoplasms,PHT - Portal hypertension,34742003,3
Multiple myeloma,204.4,neoplasms,BT - Blood transfusion,116859006,4
Multiple myeloma,204.4,neoplasms,Idiopathic hypereosinophilic syndrome,423294001,4
Multiple myeloma,204.4,neoplasms,Polymyalgia,95415006,2
Multiple myeloma,204.4,neoplasms,Hanot's cirrhosis,31712002,3
Multiple myeloma,204.4,neoplasms,Bone marrow failure,127034005,5
Multiple myeloma,204.4,neoplasms,HCL - Hairy cell leukaemia,118613001,4
Multiple myeloma,204.4,neoplasms,Lymphoma,118600007,4
Multiple myeloma,204.4,neoplasms,Haematologic neoplasm,129154003,5
Multiple myeloma,204.4,neoplasms,Cyst of liver,85057007,3
Multiple myeloma,204.4,neoplasms,Arteritis,52089001,3
Multiple myeloma,204.4,neoplasms,"Malignant lymphoma, centrocytic [obs]",74654000,4
Multiple myeloma,204.4,neoplasms,Leucocytopenia,84828003,5
Multiple myeloma,204.4,neoplasms,Cancer metastatic to liver,94381002,4
Multiple myeloma,204.4,neoplasms,Factor 5 Leiden mutation,307091009,1
Hypothyroidism NOS,244.4,endocrine/metabolic,Brain concussion,110030002,1
Hypothyroidism NOS,244.4,endocrine/metabolic,Thyroid nodule,237495005,5
Hypothyroidism NOS,244.4,endocrine/metabolic,BMT - Bone marrow transplant,23719005,1
Hypothyroidism NOS,244.4,endocrine/metabolic,FTC - Follicular thyroid carcinoma,255028004,4
Hypothyroidism NOS,244.4,endocrine/metabolic,Bouveret-Hoffmann syndrome,12026006,1
Hypothyroidism NOS,244.4,endocrine/metabolic,Haemochromatosis,399187006,5
Hypothyroidism NOS,244.4,endocrine/metabolic,Simmond's disease,32390006,5
Hypothyroidism NOS,244.4,endocrine/metabolic,SMCD - systemic mast cell disease,397016004,1
Hypothyroidism NOS,244.4,endocrine/metabolic,Adenoma of pituitary,254956000,4
Hypothyroidism NOS,244.4,endocrine/metabolic,Acquired pharyngo-oesophageal diverticulum,399291005,1
Hypothyroidism NOS,244.4,endocrine/metabolic,Infectious disorder of kidney,129128006,1
Hypothyroidism NOS,244.4,endocrine/metabolic,Cyst of thyroid,72325004,5
Hypothyroidism NOS,244.4,endocrine/metabolic,Blood in urine,34436003,1
Hypothyroidism NOS,244.4,endocrine/metabolic,Anovulation,34571000,4
Hypothyroidism NOS,244.4,endocrine/metabolic,Mechanical vitrectomy by pars plana approach,87021001,1
Hypothyroidism NOS,244.4,endocrine/metabolic,Bronchiolitis,4120002,1
Hypothyroidism NOS,244.4,endocrine/metabolic,Adenoma sebaceum syndrome,7199000,1
Hypothyroidism NOS,244.4,endocrine/metabolic,Multinodular goiter,237570007,4
Hypothyroidism NOS,244.4,endocrine/metabolic,Excision of thyroid gland,13619001,5
Hypothyroidism NOS,244.4,endocrine/metabolic,Chronic back pain,134407002,1
Hypothyroidism NOS,244.4,endocrine/metabolic,Nodular goiter,190236006,4
Hypothyroidism NOS,244.4,endocrine/metabolic,Acetaminophen overdose,295124009,1
Hypothyroidism NOS,244.4,endocrine/metabolic,Idiopathic avascular necrosis,82562007,1
Hypothyroidism NOS,244.4,endocrine/metabolic,Angiopathy,27550009,1
Hypothyroidism NOS,244.4,endocrine/metabolic,Stomatitis,95361005,1
Hypothyroidism NOS,244.4,endocrine/metabolic,Acromegalia,74107003,3
Hypothyroidism NOS,244.4,endocrine/metabolic,Cushing basophilism,190502001,2
Hypothyroidism NOS,244.4,endocrine/metabolic,Secondary thyroid hyperplasia,26389007,4
