"phecode","phenotype","phecode_exclude_range","sex","rollup","leaf","category","category_number"
"270.31","Polyclonal hypergammaglobulinemia","269-270.99","Both",1,1,"endocrine/metabolic",3
"270.32","Paraproteinemia","269-270.99","Both",1,1,"endocrine/metabolic",3
"270.33","Amyloidosis","269-270.99","Both",0,1,"endocrine/metabolic",3
"270.34","Alpha-1-antitrypsin deficiency","269-270.99","Both",1,0,"endocrine/metabolic",3
"270.35","Macroglobulinemia","269-270.99","Both",1,0,"endocrine/metabolic",3
"270.38","Other specified disorders of plasma protein metabolism","269-270.99","Both",1,1,"endocrine/metabolic",3
"271","Disorders of carbohydrate transport and metabolism","271-271.99","",1,0,"endocrine/metabolic",3
"271.3","Intestinal disaccharidase deficiencies and disaccharide malabsorption","271-271.99","Both",1,1,"endocrine/metabolic",3
"271.9","Other disorders of carbohydrate transport and metabolism","271-271.99","Both",1,1,"endocrine/metabolic",3
"272","Disorders of lipoid metabolism","272-272.99","",1,0,"endocrine/metabolic",3
"272.1","Hyperlipidemia","272-272.99","",1,1,"endocrine/metabolic",3
"272.11","Hypercholesterolemia","272-272.99","Both",1,1,"endocrine/metabolic",3
"272.12","Hyperglyceridemia","272-272.99","Both",1,1,"endocrine/metabolic",3
"272.13","Mixed hyperlipidemia","272-272.99","Both",1,1,"endocrine/metabolic",3
"272.14","Hyperchylomicronemia","272-272.99","Both",1,1,"endocrine/metabolic",3
"272.9","Unspecified disorder of lipoid metabolism","272-272.99","Both",1,1,"endocrine/metabolic",3
"274","Gout and other crystal arthropathies","274-274.99","",1,0,"endocrine/metabolic",3
"274.1","Gout","274-274.99","Both",1,1,"endocrine/metabolic",3
"274.11","Gouty arthropathy","274-274.99","Both",1,1,"endocrine/metabolic",3
"274.2","Crystal arthropathies","274-274.99","Both",1,1,"endocrine/metabolic",3
"274.21","Chondrocalcinosis","274-274.99","Both",1,1,"endocrine/metabolic",3
"275","Disorders of mineral metabolism","275-275.99","",1,0,"endocrine/metabolic",3
"275.1","Disorders of iron metabolism","275-275.99","",1,1,"hematopoietic",4
"275.11","Hereditary hemochromatosis","275-275.99","Both",1,0,"hematopoietic",4
"275.2","Disorders of copper metabolism","275-275.99","",1,1,"endocrine/metabolic",3
"275.3","Disorders of magnesium metabolism","275-275.99","",1,1,"endocrine/metabolic",3
"275.5","Disorders of calcium/phosphorus metabolism","275-275.99","",1,1,"endocrine/metabolic",3
"275.51","Hypocalcemia","275-275.99","Both",1,1,"endocrine/metabolic",3
"275.53","Disorders of phosphorus metabolism","275-275.99","Both",1,1,"endocrine/metabolic",3
"275.6","Hypercalcemia","275-275.99","Both",1,1,"endocrine/metabolic",3
"276","Disorders of fluid, electrolyte, and acid-base balance","276-276.99","Both",1,0,"endocrine/metabolic",3
"276.1","Electrolyte imbalance","276-276.99","Both",1,1,"endocrine/metabolic",3
"276.11","Hyperosmolality and/or hypernatremia","276-276.99","Both",1,1,"endocrine/metabolic",3
"276.12","Hyposmolality and/or hyponatremia","276-276.99","Both",1,1,"endocrine/metabolic",3
"276.13","Hyperpotassemia","276-276.99","Both",1,1,"endocrine/metabolic",3
"276.14","Hypopotassemia","276-276.99","Both",1,1,"endocrine/metabolic",3
"276.4","Acid-base balance disorder","276-276.99","Both",0,0,"endocrine/metabolic",3
"276.41","Acidosis","276-276.99","Both",1,1,"endocrine/metabolic",3
"276.42","Alkalosis","276-276.99","Both",1,1,"endocrine/metabolic",3
"276.5","Hypovolemia","276-276.99","Both",1,1,"endocrine/metabolic",3
"276.6","Fluid overload","276-276.99","Both",1,1,"endocrine/metabolic",3
"276.8","Polydipsia","276-276.99","Both",0,1,"endocrine/metabolic",3
"277","Other disorders of metabolism","277-277.99","",1,0,"endocrine/metabolic",3
"277.1","Disorders of porphyrin metabolism","277-277.99","Both",1,1,"endocrine/metabolic",3
"277.2","Other disorders of purine and pyrimidine metabolism","277-277.99","Both",1,1,"endocrine/metabolic",3
"277.4","Disorders of bilirubin excretion","277-277.99","",0,0,"endocrine/metabolic",3
"277.5","Other disorders of lipoid metabolism","277-277.99","",0,0,"endocrine/metabolic",3
"277.51","Lipoprotein disorders","277-277.99","Both",1,1,"endocrine/metabolic",3
"277.6","Other deficiencies of circulating enzymes","277-277.99","",0,1,"endocrine/metabolic",3
"277.7","Dysmetabolic syndrome X","277-277.99","",0,0,"endocrine/metabolic",3
"277.8","Carnitine deficiencies","277-277.99","",1,1,"endocrine/metabolic",3
"278","Overweight, obesity and other hyperalimentation","278-278.99","Both",1,0,"endocrine/metabolic",3
"278.1","Obesity","278-278.99","Both",1,1,"endocrine/metabolic",3
"278.11","Morbid obesity","278-278.99","Both",1,1,"endocrine/metabolic",3
"278.3","Localized adiposity","278-278.99","Both",1,1,"endocrine/metabolic",3
"278.4","Abnormal weight gain","278-278.99","Both",1,1,"endocrine/metabolic",3
"279","Disorders involving the immune mechanism","279-279.99","",1,0,"endocrine/metabolic",3
"279.1","Immunity deficiency","279-279.99","Both",1,1,"endocrine/metabolic",3
"279.11","Deficiency of humoral immunity","279-279.99","Both",1,1,"endocrine/metabolic",3
"279.2","Autoimmune disease NEC","279-279.99","Both",1,1,"endocrine/metabolic",3
"279.7","Other immunological findings","279-279.99","Both",0,1,"endocrine/metabolic",3
"279.8","Other specified disorders involving the immune mechanism","279-279.99","Both",1,1,"endocrine/metabolic",3
"280","Iron deficiency anemias","280-285.99","",1,0,"hematopoietic",4
"280.1","Iron deficiency anemias, unspecified or not due to blood loss","280-285.99","Both",1,1,"hematopoietic",4
"280.2","Iron deficiency anemia secondary to blood loss (chronic)","280-285.99","Both",1,1,"hematopoietic",4
"281","Other deficiency anemia","280-285.99","",1,0,"hematopoietic",4
"281.1","Megaloblastic anemia","280-285.99","",1,1,"hematopoietic",4
"281.11","Pernicious anemia","280-285.99","Both",1,1,"hematopoietic",4
"281.12","Other vitamin B12 deficiency anemia","280-285.99","Both",1,1,"hematopoietic",4
"281.13","Folate-deficiency anemia","280-285.99","Both",1,1,"hematopoietic",4
"281.9","Deficiency anemias","280-285.99","Both",1,1,"hematopoietic",4
"282","Hereditary hemolytic anemias","280-285.99","",1,0,"hematopoietic",4
"282.5","Sickle cell anemia","280-285.99","",1,1,"hematopoietic",4
"282.8","Other hemoglobinopathies","280-285.99","Both",1,1,"hematopoietic",4
"282.9","Other hereditary hemolytic anemias","280-285.99","Both",1,1,"hematopoietic",4
"283","Acquired hemolytic anemias","280-285.99","",1,0,"hematopoietic",4
"283.1","Autoimmune hemolytic anemias","280-285.99","",1,1,"hematopoietic",4
"283.2","Non-autoimmune hemolytic anemias","280-285.99","Both",1,1,"hematopoietic",4
"283.21","Hemolytic-uremic syndrome","280-285.99","Both",1,0,"hematopoietic",4
"284","Aplastic anemia","280-285.99","",1,0,"hematopoietic",4
"284.1","Pancytopenia","280-285.99","Both",1,1,"hematopoietic",4
"284.2","Constitutional aplastic anemia","280-285.99","Both",1,0,"hematopoietic",4
"285","Other anemias","280-285.99","",1,0,"hematopoietic",4
"285.1","Acute posthemorrhagic anemia","280-285.99","Both",1,1,"hematopoietic",4
"285.2","Anemia of chronic disease","280-285.99","Both",1,1,"hematopoietic",4
"285.21","Anemia in chronic kidney disease","280-285.99","Both",1,1,"hematopoietic",4
"285.22","Anemia in neoplastic disease","280-285.99","Both",1,1,"hematopoietic",4
"285.3","Sideroblastic anemia","280-285.99","Both",1,1,"hematopoietic",4
"285.8","Hemoglobinuria","280-285.99","Both",0,1,"hematopoietic",4
"286","Coagulation defects","286-287.99","Both",1,0,"hematopoietic",4
"286.1","Congenital coagulation defects","286-287.99","Both",1,1,"hematopoietic",4
"286.11","Von willebrand's disease","286-287.99","Both",1,1,"hematopoietic",4
"286.12","Congenital deficiency of other clotting factors (including factor VII)","286-287.99","Both",1,1,"hematopoietic",4
"286.13","Congenital factor VIII disorder","286-287.99","Both",1,0,"hematopoietic",4
"286.2","Encounter for long-term (current) use of anticoagulants","286-287.99","Both",0,1,"hematopoietic",4
"286.3","Coagulation defects complicating pregnancy or postpartum","286-287.99","Female",0,1,"hematopoietic",4
"286.4","Acquired coagulation factor deficiency","286-287.99","Both",1,1,"hematopoietic",4
"286.5","Hemorrhagic disorder due to intrinsic circulating anticoagulants","286-287.99","Both",1,1,"hematopoietic",4
"286.6","Defibrination syndrome","286-287.99","Both",1,1,"hematopoietic",4
"286.7","Other and unspecified coagulation defects","286-287.99","Both",1,1,"hematopoietic",4
"286.8","Hypercoagulable state","286-287.99","Both",1,1,"hematopoietic",4
"286.81","Primary hypercoagulable state","286-287.99","Both",1,0,"hematopoietic",4
"286.9","Abnormal coagulation profile","286-287.99","Both",1,1,"hematopoietic",4
"287","Purpura and other hemorrhagic conditions","286-287.99","",1,0,"hematopoietic",4
"287.1","Spontaneous ecchymoses","286-287.99","Both",0,1,"hematopoietic",4
"287.2","Allergic purpura","286-287.99","Both",1,0,"hematopoietic",4
"287.3","Thrombocytopenia","286-287.99","Both",1,1,"hematopoietic",4
"287.31","Primary thrombocytopenia","286-287.99","Both",1,1,"hematopoietic",4
"287.32","Secondary thrombocytopenia","286-287.99","Both",1,1,"hematopoietic",4
"287.4","Qualitative platelet defects","286-287.99","Both",1,0,"hematopoietic",4
"288","Diseases of white blood cells","288-289.99","Both",1,0,"hematopoietic",4
"288.1","Decreased white blood cell count","288-289.99","Both",0,0,"hematopoietic",4
"288.11","Neutropenia","288-289.99","Both",1,1,"hematopoietic",4
"288.2","Elevated white blood cell count","288-289.99","Both",1,1,"hematopoietic",4
"288.3","Eosinophilia","288-289.99","Both",1,1,"hematopoietic",4
"289","Other diseases of blood and blood-forming organs","288-289.99","",1,0,"hematopoietic",4
"289.1","Myelofibrosis","288-289.99","Both",1,0,"hematopoietic",4
"289.3","Personal history of diseases of blood and blood-forming organs","288-289.99","Both",1,1,"hematopoietic",4
"289.4","Lymphadenitis","288-289.99","Both",0,0,"hematopoietic",4
"289.5","Diseases of spleen","288-289.99","Both",0,0,"hematopoietic",4
"289.8","Polycythemia, secondary","288-289.99, 200-200.99","Both",1,1,"hematopoietic",4
"289.9","Abnormality of red blood cells","288-289.99","Both",1,1,"hematopoietic",4
"290","Delirium dementia and amnestic and other cognitive disorders","290-292.99","",1,0,"mental disorders",5
"290.1","Dementias","290-292.99","Both",1,1,"mental disorders",5
"290.11","Alzheimer's disease","290-292.99","Both",1,1,"mental disorders",5
"290.12","Dementia with cerebral degenerations","290-292.99","Both",1,1,"mental disorders",5
"290.13","Senile dementia","290-292.99","Both",1,1,"mental disorders",5
"290.16","Vascular dementia","290-292.99","Both",1,1,"mental disorders",5
"290.2","Delirium due to conditions classified elsewhere","290-292.99","Both",1,1,"mental disorders",5
"290.3","Other persistent mental disorders due to conditions classified elsewhere","290-292.99","Both",0,0,"mental disorders",5
"291","Other specified nonpsychotic and/or transient mental disorders","290-292.99","",1,0,"mental disorders",5
"291.1","Transient mental disorders due to conditions classified elsewhere","290-292.99","Both",1,1,"mental disorders",5
"291.4","Specific nonpsychotic mental disorders due to brain damage","290-292.99","Both",1,1,"mental disorders",5
"291.8","Alteration of consciousness","290-292.99","Both",1,0,"mental disorders",5
"292","Neurological disorders","290-292.99","Both",1,0,"mental disorders",5
"292.1","Aphasia/speech disturbance","290-292.99","Both",1,1,"mental disorders",5
"292.11","Aphasia","290-292.99","Both",1,0,"mental disorders",5
"292.12","Symbolic dysfunction","290-292.99","Both",1,0,"mental disorders",5
"292.2","Mild cognitive impairment","290-292.99","Both",1,1,"mental disorders",5
"292.3","Memory loss","290-292.99","Both",1,1,"mental disorders",5
"292.4","Altered mental status","290-292.99","Both",1,1,"mental disorders",5
"292.5","Transient alteration of awareness","290-292.99","Both",1,1,"mental disorders",5
"292.6","Hallucinations","290-292.99","Both",1,1,"mental disorders",5
"293","Symptoms involving head and neck","293-293.99","",1,0,"mental disorders",5
"293.1","Swelling, mass, or lump in head and neck [Space-occupying lesion, intracranial NOS]","293-293.99","Both",0,0,"mental disorders",5
"295","Schizophrenia and other psychotic disorders","295-306.99","",1,0,"mental disorders",5
"295.1","Schizophrenia","295-306.99","Both",1,1,"mental disorders",5
"295.2","Paranoid disorders","295-306.99","Both",1,1,"mental disorders",5
"295.3","Psychosis","295-306.99","Both",1,0,"mental disorders",5
"296","Mood disorders","295-306.99","",1,0,"mental disorders",5
"296.1","Bipolar","295-306.99","",1,1,"mental disorders",5
"296.2","Depression","295-306.99","",1,1,"mental disorders",5
"296.22","Major depressive disorder","295-306.99","Both",1,1,"mental disorders",5
"297","Suicidal ideation or attempt","295-306.99","",1,0,"mental disorders",5
"297.1","Suicidal ideation","295-306.99","Both",1,1,"mental disorders",5
"297.2","Suicide or self-inflicted injury","295-306.99","Both",1,0,"mental disorders",5
"300","Anxiety disorders","295-306.99","Both",1,0,"mental disorders",5
"300.1","Anxiety disorder","295-306.99","Both",1,1,"mental disorders",5
"300.11","Generalized anxiety disorder","295-306.99","Both",1,1,"mental disorders",5
"300.12","Agorophobia, social phobia, and panic disorder","295-306.99","Both",1,1,"mental disorders",5
"300.13","Phobia","295-306.99","Both",1,1,"mental disorders",5
"300.2","Generalized anxiety & phobic disorders","295-306.99","Both",1,1,"mental disorders",5
"300.3","Obsessive-compulsive disorders","295-306.99","Both",1,1,"mental disorders",5
"300.4","Dysthymic disorder","295-306.99","Both",1,1,"mental disorders",5
"300.8","Acute reaction to stress","295-306.99","Both",1,1,"mental disorders",5
"300.9","Posttraumatic stress disorder","295-306.99","Both",1,1,"mental disorders",5
"301","Personality disorders","295-306.99","",1,0,"mental disorders",5
"301.1","Schizoid personality disorder","295-306.99","Both",1,1,"mental disorders",5
"301.2","Antisocial/borderline personality disorder","295-306.99","Both",1,1,"mental disorders",5
"302","Sexual and gender identity disorders","295-306.99","",1,0,"mental disorders",5
"302.1","Decreased libido","295-306.99","",1,1,"mental disorders",5
"303","Psychogenic and somatoform disorders","295-306.99","Both",1,0,"mental disorders",5
"303.1","Dissociative disorder","295-306.99","Both",0,0,"mental disorders",5
"303.3","Psychogenic disorder","295-306.99","Both",1,1,"mental disorders",5
"303.31","Gastrointestinal malfunction arising from mental factors","295-306.99","Both",1,1,"mental disorders",5
"303.4","Somatoform disorder","295-306.99","Both",1,1,"mental disorders",5
"304","Adjustment reaction","295-306.99","Both",1,0,"mental disorders",5
"305.2","Eating disorder","295-306.99","Both",0,0,"mental disorders",5
"305.21","Anorexia nervosa","295-306.99","Both",1,1,"mental disorders",5
"306","Other mental disorder","295-306.99","Both",1,1,"mental disorders",5
"306.1","Mental disorders durring/after pregnancy","295-306.99","Female",0,1,"mental disorders",5
"306.9","Tension headache","295-306.99","Both",1,0,"mental disorders",5
"312","Conduct disorders","312-315.99","",1,0,"mental disorders",5
"312.3","Impulse control disorder","312-315.99","Both",1,1,"mental disorders",5
"313","Pervasive developmental disorders","312-315.99","",1,0,"mental disorders",5
"313.1","Attention deficit hyperactivity disorder","312-315.99","Both",1,1,"mental disorders",5
"313.2","Tics and stuttering","312-315.99","Both",1,1,"mental disorders",5
"313.3","Autism","312-315.99","Both",1,1,"mental disorders",5
"315","Develomental delays and disorders","312-315.99","Both",1,0,"mental disorders",5
"315.1","Learning disorder","312-315.99","Both",0,0,"mental disorders",5
"315.2","Speech and language disorder","312-315.99","Both",1,1,"mental disorders",5
"315.3","Mental retardation","312-315.99","Both",1,1,"mental disorders",5
"316","Substance addiction and disorders","316-319.99","",1,0,"mental disorders",5
"316.1","Polyneuropathy due to drugs","316-319.99","Both",1,1,"mental disorders",5
"317","Alcohol-related disorders","316-319.99","",1,0,"mental disorders",5
"317.1","Alcoholism","316-319.99","Both",1,1,"mental disorders",5
"317.11","Alcoholic liver damage","316-319.99","Both",1,1,"mental disorders",5
"318","Tobacco use disorder","316-319.99","Both",1,0,"mental disorders",5
"320","Meningitis","320-326.9","",1,0,"neurological",6
"323","Encephalitis","320-326.9","",1,0,"neurological",6
"323.2","Acute (transverse) myelitis","320-326.9","Both",1,0,"neurological",6
"323.8","Encephalitis, non-infectious","320-326.9","Both",1,0,"neurological",6
"324","Other CNS infection and poliomyelitis","320-326.9","",1,0,"neurological",6
"324.1","Jakob-Creutzfeldt disease","320-326.9","Both",1,1,"neurological",6
"325","Phlebitis and thrombophlebitis of intracranial venous sinuses","320-326.9","",1,0,"neurological",6
"327","Sleep disorders","327-328.99","Both",1,0,"neurological",6
"327.1","Hypersomnia","327-328.99","Both",1,1,"neurological",6
"327.3","Sleep apnea","327-328.99","Both",0,0,"neurological",6
"327.31","Central/nonobstroctive sleep apnea","327-328.99","Both",1,1,"neurological",6
"327.32","Obstructive sleep apnea","327-328.99","Both",1,1,"neurological",6
"327.4","Insomnia","327-328.99","Both",1,1,"neurological",6
"327.41","Organic or persistent insomnia","327-328.99","Both",1,1,"neurological",6
"327.5","Parasomnia","327-328.99","Both",1,1,"neurological",6
"327.6","Circadian rhythm sleep disorder","327-328.99","Both",1,1,"neurological",6
"327.7","Sleep related movement disorders","327-328.99","Both",1,1,"neurological",6
"327.71","Restless legs syndrome","327-328.99","Both",1,1,"neurological",6
"327.72","Sleep related leg cramps","327-328.99","Both",1,1,"neurological",6
"331","Other cerebral degenerations","330-337.99, 341-349.99","",1,0,"neurological",6
"331.1","Hydrocephalus","330-337.99, 341-349.99","Both",1,0,"neurological",6
"331.9","Cerebral degeneration, unspecified","330-337.99, 341-349.99","Both",1,0,"neurological",6
"332","Parkinson's disease","330-337.99, 341-349.99","",1,0,"neurological",6
"333","Extrapyramidal disease and abnormal movement disorders","330-337.99, 341-349.99","Both",1,0,"neurological",6
"333.1","Essential tremor","330-337.99, 341-349.99","Both",1,1,"neurological",6
"333.2","Myoclonus","330-337.99, 341-349.99","Both",1,1,"neurological",6
"333.3","Tics and choreas","330-337.99, 341-349.99","Both",1,1,"neurological",6
"333.4","Torsion dystonia","330-337.99, 341-349.99","Both",1,1,"neurological",6
"333.8","Other degenerative diseases of the basal ganglia","330-337.99, 341-349.99","Both",1,1,"neurological",6
"334","Degenerative disease of the spinal cord","330-337.99, 341-349.99","",1,0,"neurological",6
"334.1","Spinocerebellar disease","330-337.99, 341-349.99","Both",1,1,"neurological",6
"334.2","Anterior horn cell disease","330-337.99, 341-349.99","Both",1,1,"neurological",6
"334.21","Amyotrophic Lateral Sclerosis","330-337.99, 341-349.99","Both",1,1,"neurological",6
"335","Multiple sclerosis","330-337.99, 341-349.99","",1,0,"neurological",6
"337","Disorders of the autonomic nervous system","330-337.99, 341-349.99","",1,0,"neurological",6
"337.1","Peripheral autonomic neuropathy","330-337.99, 341-349.99","Both",1,1,"neurological",6
"338","Pain NEC","338-338.9","",1,1,"neurological",6
"339","Other headache syndromes","339-340.99","",1,0,"neurological",6
"340","Migraine","339-340.99","",1,0,"neurological",6
"340.1","Migrain with aura","339-340.99","Both",1,1,"neurological",6
"341","Other demyelinating diseases of central nervous system","330-337.99, 341-349.99","",1,0,"neurological",6
"342","Hemiplegia","330-337.99, 341-349.99","",1,0,"neurological",6
"343","Infantile cerebral palsy","330-337.99, 341-349.99","",1,0,"neurological",6
"344","Other paralytic syndromes","330-337.99, 341-349.99","",1,0,"neurological",6
"345","Epilepsy, recurrent seizures, convulsions","330-337.99, 341-349.99","",1,0,"neurological",6
"345.1","Epilepsy","330-337.99, 341-349.99","Both",1,1,"neurological",6
"345.11","Generalized convulsive epilepsy","330-337.99, 341-349.99","Both",1,1,"neurological",6
"345.12","Partial epilepsy","330-337.99, 341-349.99","Both",1,1,"neurological",6
"345.3","Convulsions","330-337.99, 341-349.99","Both",1,1,"neurological",6
"346","Abnormal findings on study of brain and/or nervous system","330-337.99, 341-349.99","",1,0,"neurological",6
"346.1","Nonspecific abnormal findings on radiological and other examination of skull and head","330-337.99, 341-349.99","Both",0,0,"neurological",6
"346.2","Nonspecific abnormal results of function study of brain and central nervous system","330-337.99, 341-349.99","Both",1,0,"neurological",6
"346.3","Nonspecific abnormal findings in cerebrospinal fluid","330-337.99, 341-349.99","Both",0,0,"neurological",6
"347","Cataplexy and narcolepsy","330-337.99, 341-349.99","",1,0,"neurological",6
"348","Other conditions of brain","330-337.99, 341-349.99","Both",1,0,"neurological",6
"348.2","Cerebral edema and compression of brain","330-337.99, 341-349.99","Both",1,1,"neurological",6
"348.4","Cerebral cysts","330-337.99, 341-349.99","Both",1,0,"neurological",6
"348.7","Coma","330-337.99, 341-349.99","Both",0,0,"neurological",6
"348.8","Encephalopathy, not elsewhere classified","330-337.99, 341-349.99","Both",1,0,"neurological",6
"348.9","Other conditions of brain, NOS","330-337.99, 341-349.99","Both",0,0,"neurological",6
"349","Other and unspecified disorders of the nervous system","330-337.99, 341-349.99","",1,0,"neurological",6
"350","Abnormal movement","350-350.99","Both",1,0,"neurological",6
"350.1","Abnormal involuntary movements","350-350.99","Both",1,1,"neurological",6
"350.2","Abnormality of gait","350-350.99","Both",1,1,"neurological",6
"350.3","Lack of coordination","350-350.99","Both",1,1,"neurological",6
"350.5","Abnormal reflex","350-350.99","Both",1,1,"neurological",6
"350.6","Disturbances of sensation of smell and taste","350-350.99","Both",0,0,"neurological",6
"351","Other peripheral nerve disorders","351-355.99","",1,0,"neurological",6
"352","Disorders of other cranial nerves","351-355.99","",1,0,"neurological",6
"352.1","Trigeminal nerve disorders [CN5]","351-355.99","Both",1,1,"neurological",6
"352.2","Facial nerve disorders [CN7]","351-355.99","Both",1,1,"neurological",6
"353","Nerve root and plexus disorders","351-355.99","",1,0,"neurological",6
"353.1","Nerve plexus lesions","351-355.99","Both",1,1,"neurological",6
"353.2","Nerve root lesions","351-355.99","Both",1,1,"neurological",6
"355","Complex regional/central pain syndrome","351-355.99","Both",1,0,"neurological",6
"355.1","Chronic pain syndrome","351-355.99","Both",0,0,"neurological",6
"356","Hereditary and idiopathic peripheral neuropathy","356-359.99","",1,0,"neurological",6
"357","Inflammatory and toxic neuropathy","356-359.99","",1,0,"neurological",6
"358","Myoneural disorders","356-359.99","",1,0,"neurological",6
"358.1","Myasthenia gravis","356-359.99","",1,1,"neurological",6
"359","Muscular dystrophies and other myopathies","356-359.99","",1,0,"neurological",6
"359.1","Muscular dystrophies","356-359.99","Both",1,0,"neurological",6
"359.2","Myopathy","356-359.99","Both",1,0,"neurological",6
"360","Disorders of the globe","360-365.99","",1,0,"sense organs",7
"360.2","Progressive myopia","360-365.99","Both",1,1,"sense organs",7
"360.3","Hypotony of eye","360-365.99","Both",1,1,"sense organs",7
"361","Retinal detachments and defects","360-365.99","",1,0,"sense organs",7
"361.1","Retinal detachment with retinal defect","360-365.99","Both",1,1,"sense organs",7
"361.2","Retinoschisis and retinal cysts","360-365.99","Both",1,1,"sense organs",7
"362","Other retinal disorders","250.70-250.79,360-365.99","",1,0,"sense organs",7
"362.1","Retinopathy of prematurity","250.70-250.79,360-365.99","Both",1,0,"sense organs",7
"362.2","Degeneration of macula and posterior pole of retina","250.70-250.79,360-365.99","",1,1,"sense organs",7
"362.21","Macular degeneration, dry","250.70-250.79,360-365.99","Both",1,1,"sense organs",7
"362.22","Macular degeneration, wet","250.70-250.79,360-365.99","Both",1,1,"sense organs",7
"362.23","Cystoid macular degeneration of retina","250.70-250.79,360-365.99","Both",1,1,"sense organs",7
"362.26","Macular puckering of retina","250.70-250.79,360-365.99","Both",1,1,"sense organs",7
"362.27","Drusen (degenerative) of retina","250.70-250.79,360-365.99","Both",1,1,"sense organs",7
"362.29","Macular degeneration (senile) of retina NOS","250.70-250.79,360-365.99","Both",1,1,"sense organs",7
"362.3","Other nondiabetic retinopathy","250.70-250.79,360-365.99","Both",1,0,"sense organs",7
"362.31","Separation of retinal layers","250.70-250.79,360-365.99","Both",1,0,"sense organs",7
"362.4","Retinal vascular changes and abnomalities","250.70-250.79,360-365.99","Both",1,1,"sense organs",7
"362.5","Toxic maculopathy of retina","250.70-250.79,360-365.99","Both",1,0,"sense organs",7
"362.6","Peripheral retinal degenerations","250.70-250.79,360-365.99","Both",1,1,"sense organs",7
"362.7","Hereditary retinal dystrophies","250.70-250.79,360-365.99","Both",1,1,"sense organs",7
"362.8","Retinal hemorrhage/ischemia","250.70-250.79,360-365.99","Both",1,1,"sense organs",7
"362.9","Retinal edema","250.70-250.79,360-365.99","Both",1,1,"sense organs",7
"363","Chorioretinal inflammations, scars, and other disorders of choroid","360-365.99","",1,0,"sense organs",7
"363.3","Chorioretinal scars","360-365.99","Both",1,1,"sense organs",7
"363.4","Choroidal degenerations","360-365.99","Both",1,1,"sense organs",7
"364","Corneal opacity and other disorders of cornea","360-365.99","Both",1,0,"sense organs",7
"364.1","Corneal opacity","360-365.99","Both",0,0,"sense organs",7
"364.2","Corneal edema","360-365.99","Both",1,1,"sense organs",7
"364.4","Corneal degenerations","360-365.99","Both",1,1,"sense organs",7
"364.41","Keratoconus","360-365.99","Both",1,1,"sense organs",7
"364.5","Corneal dystrophy","360-365.99","Both",1,1,"sense organs",7
"364.51","Fuchs' dystrophy","360-365.99","Both",1,1,"sense organs",7
"364.9","Cornea replaced by transplant","360-365.99","Both",1,1,"sense organs",7
"365","Glaucoma","360-365.99","",1,0,"sense organs",7
"365.1","Open-angle glaucoma","360-365.99","Both",1,1,"sense organs",7
"365.11","Primary open angle glaucoma","360-365.99","Both",1,1,"sense organs",7
"365.2","Primary angle-closure glaucoma","360-365.99","Both",1,1,"sense organs",7
"365.5","Pseudoexfoliation glaucoma","360-365.99","Both",1,1,"sense organs",7
"366","Cataract","366-366.99","Both",1,0,"sense organs",7
"366.1","Nonsenile Cataract","366-366.99","Both",1,1,"sense organs",7
"366.2","Senile cataract","366-366.99","Both",1,1,"sense organs",7
"366.3","Traumatic cataract","366-366.99","Both",1,1,"sense organs",7
"367","Disorders of refraction and accommodation; blindness and low vision","367-367.99","",1,0,"sense organs",7
"367.1","Myopia","367-367.99","Both",1,1,"sense organs",7
"367.2","Astigmatism","367-367.99","Both",1,1,"sense organs",7
"367.4","Presbyopia","367-367.99","Both",1,1,"sense organs",7
"367.8","Hypermetropia","367-367.99","Both",1,1,"sense organs",7
"367.9","Blindness and low vision","367-367.99","Both",1,1,"sense organs",7
"368","Visual disturbances","368-368.99","",1,0,"sense organs",7
"368.1","Amblyopia","368-368.99","Both",1,1,"sense organs",7
"368.2","Diplopia and disorders of binocular vision","368-368.99","Both",1,1,"sense organs",7
"368.3","Anisometropia","368-368.99","Both",1,1,"sense organs",7
"368.4","Visual field defects","368-368.99","Both",0,0,"sense organs",7
"368.5","Color vision deficiencies","368-368.99","Both",0,0,"sense organs",7
"368.7","Disorders of accommodation","368-368.99","Both",1,1,"sense organs",7
"368.9","Subjective visual disturbances","368-368.99","Both",1,1,"sense organs",7
"368.91","Psychophysical visual disturbances","368-368.99","Both",1,0,"sense organs",7
"369","Infection of the eye","369-374.99","",1,0,"sense organs",7
"369.2","Eye infection, viral","369-374.99","Both",1,1,"sense organs",7
"369.5","Conjunctivitis, infectious","369-374.99","Both",1,1,"sense organs",7
"370","Keratitis","369-374.99","Both",1,0,"sense organs",7
"370.1","Corneal ulcer","369-374.99","Both",1,1,"sense organs",7
"370.2","Superficial keratitis","369-374.99","Both",1,1,"sense organs",7
"370.3","Keratoconjunctivitis","369-374.99","Both",1,1,"sense organs",7
"370.31","Keratoconjunctivitis sicca","369-374.99","Both",1,1,"sense organs",7
"371","Inflammation of the eye","369-374.99","",1,0,"sense organs",7
"371.1","Uveitis, noninfectious or NOS","369-374.99","Both",1,1,"sense organs",7
"371.2","Conjunctivitis, noninfectious","369-374.99","Both",1,1,"sense organs",7
"371.21","Allergic conjunctivitis","369-374.99","Both",1,1,"sense organs",7
"371.3","Inflammation of eyelids","369-374.99","Both",1,1,"sense organs",7
"371.33","Noninfectious dermatoses of eyelid","369-374.99","Both",1,1,"sense organs",7
